2022-09-19 15:02:18.023 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:434 - equipment.equipment [id=2, equipmentName=SDP001, equipmentTypeId=4, description=null, model=null, fleet=null, equipmentSerialNumber=null, equipmentIP=192.168.254.133, equipmentMAC=1C:1B:0D:3A:A9:A7, fuelLevel=300.0, gnss=null, tires=null, costCenter=null, active=true]
2022-09-19 15:02:18.024 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:434 - equipment.equipment [id=15, equipmentName=CAK033, equipmentTypeId=1, description=null, model=null, fleet=null, equipmentSerialNumber=SY9530AT00002, equipmentIP=192.168.254.143, equipmentMAC=00:14:0B:87:07:7A, fuelLevel=1300.0, gnss=null, tires=null, costCenter=null, active=true]
2022-09-19 15:02:18.026 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:434 - equipment.equipment [id=17, equipmentName=CAK006, equipmentTypeId=1, description=null, model=null, fleet=null, equipmentSerialNumber=PBZ23EG, equipmentIP=192.168.254.172, equipmentMAC=A4:4E:31:28:86:B0, fuelLevel=null, gnss=null, tires=null, costCenter=null, active=true]
2022-09-19 15:02:18.027 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:434 - equipment.equipment [id=4, equipmentName=SDP002, equipmentTypeId=4, description=1, model=null, fleet=null, equipmentSerialNumber=012345, equipmentIP=192.168.254.145, equipmentMAC=null, fuelLevel=2000.0, gnss=null, tires=null, costCenter=null, active=true]
2022-09-19 15:02:18.028 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:434 - equipment.equipment [id=1, equipmentName=CAK001, equipmentTypeId=1, description=null, model=null, fleet=null, equipmentSerialNumber=08-5452-77-3, equipmentIP=192.168.254.92, equipmentMAC=null, fuelLevel=323.25, gnss=null, tires=null, costCenter=null, active=true]
2022-09-19 15:02:18.029 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:434 - equipment.equipment [id=25, equipmentName=ESK183, equipmentTypeId=2, description=BC183, model=null, fleet=null, equipmentSerialNumber=SN-BC183, equipmentIP=192.168.254.183, equipmentMAC=00:14:0B:89:B4:1A, fuelLevel=500.0, gnss=null, tires=null, costCenter=null, active=true]
2022-09-19 15:02:18.031 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:434 - equipment.equipment [id=6, equipmentName=CAK002, equipmentTypeId=1, description=null, model=null, fleet=null, equipmentSerialNumber=null, equipmentIP=192.168.254.153, equipmentMAC=00:14:0B:87:7B:20, fuelLevel=323.75, gnss=null, tires=null, costCenter=null, active=true]
2022-09-19 15:02:18.031 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:434 - equipment.equipment [id=24, equipmentName=KRIL63, equipmentTypeId=2, description=ubComp, model=null, fleet=null, equipmentSerialNumber=KRIL63-VPN, equipmentIP=192.168.1.16, equipmentMAC=94:DB:C9:4A:14:58, fuelLevel=500.0, gnss=null, tires=null, costCenter=null, active=true]
2022-09-19 15:02:18.033 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:434 - equipment.equipment [id=8, equipmentName=testS3, equipmentTypeId=5, description=null, model=null, fleet=null, equipmentSerialNumber=2, equipmentIP=192.168.254.140, equipmentMAC=null, fuelLevel=null, gnss=null, tires=null, costCenter=null, active=true]
2022-09-19 15:02:18.034 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:434 - equipment.equipment [id=9, equipmentName=CAK003, equipmentTypeId=1, description=null, model=null, fleet=null, equipmentSerialNumber=3, equipmentIP=192.168.254.145, equipmentMAC=null, fuelLevel=null, gnss=null, tires=null, costCenter=null, active=true]
2022-09-19 15:02:18.035 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:434 - equipment.equipment [id=10, equipmentName=ESK01, equipmentTypeId=2, description=null, model=null, fleet=null, equipmentSerialNumber=4, equipmentIP=192.168.254.146, equipmentMAC=null, fuelLevel=null, gnss=null, tires=null, costCenter=null, active=true]
2022-09-19 15:02:18.036 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:434 - equipment.equipment [id=11, equipmentName=ESK02, equipmentTypeId=2, description=null, model=null, fleet=null, equipmentSerialNumber=5, equipmentIP=192.168.254.147, equipmentMAC=null, fuelLevel=null, gnss=null, tires=null, costCenter=null, active=true]
2022-09-19 15:02:18.038 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:434 - equipment.equipment [id=12, equipmentName=testS7, equipmentTypeId=3, description=null, model=null, fleet=null, equipmentSerialNumber=6, equipmentIP=192.168.254.148, equipmentMAC=null, fuelLevel=null, gnss=null, tires=null, costCenter=null, active=true]
2022-09-19 15:02:18.039 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:434 - equipment.equipment [id=13, equipmentName=FT1, equipmentTypeId=3, description=null, model=null, fleet=null, equipmentSerialNumber=7, equipmentIP=192.168.254.149, equipmentMAC=null, fuelLevel=null, gnss=null, tires=null, costCenter=null, active=true]
